x,y,z,id,stress_xx,stress_yy,stress_xy
1000,-10000,0,0,-251217638.52836,-251273024.17047,622.13442583829
1000,-9900,0,100,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9800,0,200,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9700,0,300,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9600,0,400,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9500,0,500,-241396313.91961,-241450408.59748,3805.0908124629
1000,-9400,0,600,-241396313.91961,-241450408.59748,3805.0908124629
1000,-9300,0,700,-238260871.2374,-238312272.73673,5330.5256799181
1000,-9200,0,800,-232124497.47082,-232181571.63783,7108.6660243739
1000,-9100,0,900,-232124497.47082,-232181571.63783,7108.6660243739
1000,-9000,0,1000,-232124497.47082,-232181571.63783,7108.6660243739
1000,-8900,0,1100,-231177493.06071,-231237511.66794,6338.057024535
1000,-8800,0,1200,-220721375.99231,-220791909.26938,9355.9773864959
1000,-8700,0,1300,-218890095.11018,-218956185.22321,13458.041292579
1000,-8600,0,1400,-218890095.11018,-218956185.22321,13458.041292579
1000,-8500,0,1500,-218890095.11018,-218956185.22321,13458.041292579
1000,-8400,0,1600,-212881503.67533,-212954570.05277,15664.315908526
1000,-8300,0,1700,-212881503.67533,-212954570.05277,15664.315908526
1000,-8200,0,1800,-209734551.08995,-209815565.95658,16699.507179099
1000,-8100,0,1900,-204439804.81752,-204530733.33363,18931.842432888
1000,-8000,0,2000,-204439804.81752,-204530733.33363,18931.842432888
1000,-7900,0,2100,-202013889.67373,-202099261.11194,24646.924525559
1000,-7800,0,2200,-196661283.9951,-196758692.50488,28252.046869069
1000,-7700,0,2300,-193955171.38081,-194063467.2167,29412.017034884
1000,-7600,0,2400,-193955171.38081,-194063467.2167,29412.017034884
1000,-7500,0,2500,-188916002.97075,-189043454.98921,33756.188046148
1000,-7400,0,2600,-188916002.97075,-189043454.98921,33756.188046148
1000,-7300,0,2700,-185959419.21189,-186075336.27295,43180.674779204
1000,-7200,0,2800,-181449058.18612,-181584924.64145,48418.696884438
1000,-7100,0,2900,-181449058.18612,-181584924.64145,48418.696884438
1000,-7000,0,3000,-179670733.75001,-179819029.25267,47830.365403802
1000,-6900,0,3100,-175500948.22175,-175670394.69965,53399.414891105
1000,-6800,0,3200,-174789200.99044,-174945456.56435,61826.631963682
1000,-6700,0,3300,-168623319.15547,-168808678.84756,75919.358466378
1000,-6600,0,3400,-167142005.03243,-167348251.38071,78535.141880376
1000,-6500,0,3500,-167142005.03243,-167348251.38071,78535.141880376
1000,-6400,0,3600,-162995688.50393,-163235137.4666,87972.337088675
1000,-6300,0,3700,-161095534.27606,-161309454.63294,105525.81067452
1000,-6200,0,3800,-157179725.28798,-157423216.46338,117284.79682204
1000,-6100,0,3900,-155061777.82985,-155346072.17999,129294.17393755
1000,-6000,0,4000,-151178877.71659,-151505114.78318,144406.91216424
1000,-5900,0,4100,-151178877.71659,-151505114.78318,144406.91216424
